DivisionNm,LNP,ALP,OTH,Result,PartyAb,Year
Bean,31,41,27,Labor retain,ALP,2025
Canberra,24,50,26,Labor retain,ALP,2025
Fenner,27,40,33,Labor retain,ALP,2025
Banks,46,34,20,Coalition retain,LNP,2025
Barton,29,44,26,Labor retain,ALP,2025
Bennelong,46,37,18,Too close to call,TOOCLOSE,2025
Berowra,42,30,27,Coalition retain,LNP,2025
Blaxland,33,44,23,Labor retain,ALP,2025
Bradfield,39,17,43,Coalition retain,LNP,2025
Calare,33,20,47,Other gain,OTH,2025
Chifley,29,46,26,Labor retain,ALP,2025
Cook,54,27,19,Coalition retain,LNP,2025
Cowper,33,23,44,Other gain,OTH,2025
Cunningham,28,46,25,Labor retain,ALP,2025
Dobell,40,32,27,Coalition gain,LNP,2025
Eden-monaro,35,41,23,Labor retain,ALP,2025
Farrer,43,20,37,Coalition retain,LNP,2025
Fowler,21,27,52,Other retain,OTH,2025
Gilmore,39,33,29,Too close to call,TOOCLOSE,2025
Grayndler,21,54,25,Labor retain,ALP,2025
Greenway,35,43,22,Labor retain,ALP,2025
Hughes,43,34,22,Too close to call,TOOCLOSE,2025
Hume,42,26,33,Coalition retain,LNP,2025
Hunter,24,36,40,Labor retain,ALP,2025
Kingsford Smith,30,44,26,Labor retain,ALP,2025
Lindsay,45,28,26,Coalition retain,LNP,2025
Lyne,34,22,44,Coalition retain,LNP,2025
Macarthur,35,39,26,Labor retain,ALP,2025
Mackellar,41,13,46,Other retain,OTH,2025
Macquarie,34,38,29,Labor retain,ALP,2025
Mcmahon,31,40,29,Labor retain,ALP,2025
Mitchell,51,28,21,Coalition retain,LNP,2025
New England,45,23,33,Coalition retain,LNP,2025
Newcastle,25,45,29,Labor retain,ALP,2025
Page,40,24,36,Coalition retain,LNP,2025
Parkes,38,20,42,Coalition retain,LNP,2025
Parramatta,37,40,23,Labor retain,ALP,2025
Paterson,39,34,28,Too close to call,TOOCLOSE,2025
Reid,44,39,17,Too close to call,TOOCLOSE,2025
Richmond,22,39,40,Labor retain,ALP,2025
Riverina,37,26,38,Coalition retain,LNP,2025
Robertson,39,34,27,Too close to call,TOOCLOSE,2025
Shortland,39,38,24,Too close to call,TOOCLOSE,2025
Sydney,23,51,26,Labor retain,ALP,2025
Warringah,33,15,52,Other retain,OTH,2025
Watson,26,45,29,Labor retain,ALP,2025
Wentworth,39,20,41,Other retain,OTH,2025
Werriwa,36,36,28,Labor retain,ALP,2025
Whitlam,32,41,26,Labor retain,ALP,2025
Lingiari,26,28,47,Too close to call,TOOCLOSE,2025
Solomon,27,45,28,Labor retain,ALP,2025
Blair                   31,31,37,32,Labor retain,ALP,2025
Bonner                   44,44,34,22,Coalition retain,LNP,2025
Bowman                   42,42,31,27,Coalition retain,LNP,2025
Brisbane,45,21,34,Coalition gain,LNP,2025
Capricornia,43,27,30,Coalition retain,LNP,2025
Dawson,44,24,32,Coalition retain,LNP,2025
Dickson,44,32,24,Coalition retain,LNP,2025
Fadden,39,23,38,Coalition retain,LNP,2025
Fairfax,40,24,35,Coalition retain,LNP,2025
Fisher,45,27,28,Coalition retain,LNP,2025
Flynn,41,31,28,Coalition retain,LNP,2025
Forde,38,27,35,Coalition retain,LNP,2025
Griffith,31,25,44,Greens retain,OTH,2025
Groom,46,23,32,Coalition retain,LNP,2025
Herbert,51,24,26,Coalition retain,LNP,2025
Hinkler,41,27,32,Coalition retain,LNP,2025
Kennedy,29,17,54,Other retain,OTH,2025
Leichhardt,41,29,30,Coalition retain,LNP,2025
Lilley,34,45,22,Labor retain,ALP,2025
Longman,42,32,25,Coalition retain,LNP,2025
Maranoa,58,16,26,Coalition retain,LNP,2025
McPherson,47,25,28,Coalition retain,LNP,2025
Moncrieff,44,24,32,Coalition retain,LNP,2025
Moreton,32,43,25,Labor retain,ALP,2025
Oxley,30,46,24,Labor retain,ALP,2025
Petrie,45,33,21,Coalition retain,LNP,2025
Rankin,32,39,30,Labor retain,ALP,2025
Ryan,39,20,41,Greens retain,OTH,2025
Wide Bay,42,22,36,Coalition retain,LNP,2025
