DivisionNm,OTH,ALP,LNP,PartyAb,Year
Adelaide,29.1,46.8,24.1,ALP,2025
Aston,24.4,37.4,38.2,ALP,2025
Ballarat,28.499999999999996,42.7,28.8,ALP,2025
Banks,23.799999999999997,36.6,39.6,ALP,2025
Barker,27.200000000000003,22.1,50.7,LNP,2025
Barton,28.2,47.6,24.2,ALP,2025
Bass,28.9,40.1,31,ALP,2025
Bean,35.6,41.3,23.1,In Doubt,2025
Bendigo,25.39999999999999,33.9,40.7,In Doubt,2025
Bennelong,19.1,45.8,35.1,ALP,2025
Berowra,31.39999999999999,26.9,41.7,LNP,2025
Blair,35.599999999999994,37.2,27.2,ALP,2025
Blaxland,35.400000000000006,46.4,18.2,ALP,2025
Bonner,24.4,40.4,35.2,ALP,2025
Boothby,24.1,43.1,32.8,ALP,2025
Bowman,27.89999999999999,31.9,40.2,LNP,2025
Braddon,28.200000000000003,39.9,31.9,ALP,2025
Bradfield,42,19.8,38.2,In Doubt,2025
Brand,31.700000000000003,49.4,18.9,ALP,2025
Brisbane,33.699999999999996,32.4,33.9,ALP,2025
Bruce,30.900000000000002,46.4,22.7,ALP,2025
Bullwinkel,26.800000000000004,32.3,40.9,In Doubt,2025
Burt,33.099999999999994,47.7,19.2,ALP,2025
Calare,59.599999999999994,10.2,30.2,IND,2025
Calwell,53.8,30.7,15.5,In Doubt,2025
Canberra,33.6,48.5,17.9,ALP,2025
Canning,26.800000000000004,30.1,43.1,LNP,2025
Capricornia,31.200000000000003,32.8,36,LNP,2025
Casey,34.8,24.4,40.8,LNP,2025
Chifley,26.900000000000002,53.8,19.3,ALP,2025
Chisholm,23.6,39.3,37.1,ALP,2025
Clark,66.30000000000001,20.1,13.6,IND,2025
Cook,19.9,31.5,48.6,LNP,2025
Cooper,43.5,42.1,14.4,ALP,2025
Corangamite,27.9,37.9,34.2,ALP,2025
Corio,31.7,43.1,25.2,ALP,2025
Cowan,28.2,47.6,24.2,ALP,2025
Cowper,49.7,11.5,38.8,LNP,2025
Cunningham,31.8,45,23.2,ALP,2025
Curtin,44.49999999999999,14.4,41.1,IND,2025
Dawson,31.599999999999994,26.4,42,LNP,2025
Deakin,26.4,35.2,38.4,ALP,2025
Dickson,31.199999999999996,34.2,34.6,ALP,2025
Dobell,28.8,43.4,27.8,ALP,2025
Dunkley,29.1,38.8,32.1,ALP,2025
Durack,29.699999999999996,23.9,46.4,LNP,2025
Eden-Monaro,24.5,43.2,32.3,ALP,2025
Fadden,30.5,27.5,42,LNP,2025
Fairfax,36.7,24.8,38.5,LNP,2025
Farrer,41.4,15,43.6,LNP,2025
Fenner,24,54,22,ALP,2025
Fisher,40.50000000000001,22.1,37.4,LNP,2025
Flinders,36.5,22.3,41.2,In Doubt,2025
Flynn,38.7,24.8,36.5,LNP,2025
Forde,34.3,34.7,31,ALP,2025
Forrest,40.8,22.7,36.5,LNP,2025
Fowler,50.3,37.9,11.8,IND,2025
Franklin,42,39.3,18.7,In Doubt,2025
Fraser,40.5,42.9,16.6,ALP,2025
Fremantle,42,39.4,18.6,In Doubt,2025
Gellibrand,26.5,47,26.5,ALP,2025
Gilmore,27.1,38.3,34.6,ALP,2025
Gippsland,25.5,21.2,53.3,LNP,2025
Goldstein,43.3,13,43.7,In Doubt,2025
Gorton,26.6,43.9,29.5,ALP,2025
Grayndler,32.099999999999994,54.2,13.7,ALP,2025
Greenway,21.199999999999996,51.2,27.6,ALP,2025
Grey,39.599999999999994,22.5,37.900000000000006,LNP,2025
Griffith,39.400000000000006,34.6,26,ALP,2025
Groom,43.099999999999994,16.7,40.2,LNP,2025
Hasluck,27.6,50.3,22.1,ALP,2025
Hawke,29.400000000000002,39.8,30.8,ALP,2025
Herbert,27.5,23.3,49.2,LNP,2025
Hindmarsh,28,48.9,23.1,ALP,2025
Hinkler,30.400000000000006,31.3,38.3,LNP,2025
Holt,29.299999999999997,45.7,25,ALP,2025
Hotham,24.6,49.8,25.6,ALP,2025
Hughes,23.799999999999997,39.1,37.1,ALP,2025
Hume,28.199999999999996,27.2,44.6,LNP,2025
Hunter,37.4,44.2,18.4,ALP,2025
Indi,61,8,31,IND,2025
Isaacs,21.5,50.1,28.4,ALP,2025
Jagajaga,27.199999999999996,43.2,29.6,ALP,2025
Kennedy,59.89999999999999,16.4,23.7,IND,2025
Kingsford Smith,22.400000000000002,51.9,25.7,ALP,2025
Kingston,28.099999999999998,53.7,18.2,ALP,2025
Kooyong,45.4,11.2,43.4,In Doubt,2025
La Trobe,28.1,31.8,40.1,LNP,2025
Lalor,29.6,44,26.4,ALP,2025
Leichhardt,35.3,38,26.7,ALP,2025
Lilley,25.6,46.8,27.6,ALP,2025
Lindsay,27.099999999999994,31.9,41,LNP,2025
Lingiari,23.3,45.4,31.3,ALP,2025
Longman,27.799999999999997,36,36.2,In Doubt,2025
Lyne,43.099999999999994,19.7,37.2,LNP,2025
Lyons,30.5,43.4,26.1,ALP,2025
Macarthur,28.2,48.6,23.2,ALP,2025
Mackellar,52.599999999999994,11.7,35.7,IND,2025
Macnamara,32.8,37.4,29.8,ALP,2025
Macquarie,25.2,43,31.8,ALP,2025
Makin,29.4,48.1,22.5,ALP,2025
Mallee,30.299999999999997,18.9,50.8,LNP,2025
Maranoa,31.200000000000003,16.6,52.2,LNP,2025
Maribyrnong,27.4,41.6,31,ALP,2025
Mayo,54.7,21.3,24,IND,2025
McEwen,29.300000000000004,37.9,32.8,ALP,2025
McMahon,27.2,46.1,26.7,ALP,2025
McPherson,40.5,23,36.5,LNP,2025
Melbourne,50.199999999999996,31.4,18.4,In Doubt,2025
Menzies,24.199999999999996,34.9,40.9,In Doubt,2025
Mitchell,20,33.3,46.7,LNP,2025
Monash,47.39999999999999,20.4,32.2,In Doubt,2025
Moncrieff,32.9,24.2,42.9,LNP,2025
Moore,35.5,32.8,31.7,ALP,2025
Moreton,32,42.6,25.4,ALP,2025
New England,27,20.2,52.8,LNP,2025
Newcastle,35.3,45.1,19.6,ALP,2025
Nicholls,28.400000000000006,23.6,48,LNP,2025
O'Connor,31.6,21.3,47.1,LNP,2025
Oxley,25.199999999999996,53.7,21.1,ALP,2025
Page,32.5,21.8,45.7,LNP,2025
Parkes,40.3,19.7,40,LNP,2025
Parramatta,20.6,48.5,30.9,ALP,2025
Paterson,35.300000000000004,37.3,27.4,ALP,2025
Pearce,30.500000000000004,40.8,28.7,ALP,2025
Perth,29.900000000000002,43.9,26.2,ALP,2025
Petrie,25.4,37,37.6,ALP,2025
Rankin,30.4,50.5,19.1,ALP,2025
Reid,18.900000000000002,49.3,31.8,ALP,2025
Richmond,44.900000000000006,30.3,24.8,ALP,2025
Riverina,41.00000000000001,18.1,40.9,LNP,2025
Robertson,24.2,45.5,30.3,ALP,2025
Ryan,37,28.2,34.8,In Doubt,2025
Scullin,34.3,45.1,20.6,ALP,2025
Shortland,28.5,44.9,26.6,ALP,2025
Solomon,30.499999999999993,32.9,36.6,ALP,2025
Spence,36.099999999999994,45.2,18.7,ALP,2025
Sturt,30.199999999999996,35.4,34.4,ALP,2025
Swan,29.299999999999997,43.6,27.1,ALP,2025
Sydney,27.000000000000004,55.8,17.2,ALP,2025
Tangney,22.199999999999996,43.1,34.7,ALP,2025
Wannon,45.7,10.1,44.2,LNP,2025
Warringah,53.9,14,32.1,IND,2025
Watson,36.5,49.1,14.4,ALP,2025
Wentworth,50.599999999999994,12.9,36.5,IND,2025
Werriwa,27.7,41,31.3,ALP,2025
Whitlam,32.7,39.1,28.2,ALP,2025
Wide Bay,34.199999999999996,26.4,39.4,LNP,2025
Wills,51.6,35.8,12.6,In Doubt,2025
Wright,40,25.5,34.5,LNP,2025
