DivisionNm,PartyAb,LNP,ALP,OTH,Year
Adelaide,ALP,31.3383727,38.0666155,30.5950119,2025
Aston,LNP,40.6583268,28.1895074,31.1521658,2025
Ballarat,ALP,28.1715812,38.3568011,33.4716177,2025
Banks,LNP,42.2076419,32.1805632,25.6117949,2025
Barker,LNP,47.2552312,22.5934956,30.1512732,2025
Barton,ALP,32.3210368,38.9257609,28.7532023,2025
Bass,LNP,36.1967991,26.5538347,37.2493662,2025
Bean,ALP,29.0964698,38.0758849,32.8276453,2025
Bendigo,ALP,28.5036218,36.5134203,34.9829579,2025
Bennelong,LNP,40.7095204,31.0263872,28.2640924,2025
Berowra,LNP,44.0981929,23.8471417,32.0546654,2025
Blair,ALP,32.4304249,31.6484669,35.9211082,2025
Blaxland,ALP,30.5116364,39.1291765,30.359187,2025
Bonner,LNP,41.6999777,27.3197383,30.980284,2025
Boothby,ALP,36.0881967,31.8951837,32.0166196,2025
Bowman,LNP,42.1058182,26.0443619,31.8498199,2025
Braddon,LNP,40.7249591,25.2805217,33.9945192,2025
Bradfield,LNP,39.3689566,20.3593302,40.2717132,2025
Brand,ALP,25.6541763,43.849177,30.4966466,2025
Brisbane,ALP,35.4333603,31.2943683,33.2722714,2025
Bruce,ALP,34.4609998,34.0995789,31.4394214,2025
Bullwinkel,ALP,34.8417222,33.7403921,31.4178856,2025
Burt,ALP,27.9568161,39.5378865,32.5052973,2025
Calare,LNP,42.1710933,16.0137103,41.8151964,2025
Calwell,ALP,28.618519,34.5694597,36.8120213,2025
Canberra,ALP,21.2945624,39.8994545,38.8059831,2025
Canning,LNP,39.1886135,32.1994577,28.6119288,2025
Capricornia,LNP,39.3321832,23.8365156,36.8313011,2025
Casey,LNP,35.2300848,21.9743497,42.7955654,2025
Chifley,ALP,29.3261343,41.3464303,29.3274354,2025
Chisholm,ALP,38.3339259,30.85807,30.8080041,2025
Clark,OTH,16.4978164,21.2434574,62.2587262,2025
Cook,LNP,49.4008741,25.1070238,25.4921021,2025
Cooper,ALP,20.8057886,34.3621531,44.8320584,2025
Corangamite,ALP,34.0097877,35.5143238,30.4758885,2025
Corio,ALP,28.2116389,35.0906306,36.6977304,2025
Cowan,ALP,32.3231218,39.8092477,27.8676305,2025
Cowper,OTH,35.5573768,15.3056256,49.1369975,2025
Cunningham,ALP,27.298999,37.2311236,35.4698775,2025
